Hour,Day,Month,Year,Load
0,1,1,2018,6179.8070068359375
1,1,1,2018,6006.609116210938
2,1,1,2018,5812.02998046875
3,1,1,2018,5675.925063476562
4,1,1,2018,5628.61701171875
5,1,1,2018,5608.750004882812
6,1,1,2018,5674.556015625
17,1,1,2018,7061.284052734375
18,1,1,2018,7137.434956054687
19,1,1,2018,7080.2149658203125
20,1,1,2018,7074.004111328125
21,1,1,2018,6927.601030273438
22,1,1,2018,6715.742963867187
23,1,1,2018,6380.29685546875
0,2,1,2018,5982.558994140625
1,2,1,2018,5737.84900390625
2,2,1,2018,5538.98400390625
3,2,1,2018,5456.078857421875
4,2,1,2018,5424.7908935546875
5,2,1,2018,5551.921977539063
6,2,1,2018,5814.729067382813
7,2,1,2018,6385.766127929687
8,2,1,2018,6905.554931640625
9,2,1,2018,7140.127045898437
10,2,1,2018,7210.113896484375
11,2,1,2018,7291.777983398438
12,2,1,2018,7340.729077148438
13,2,1,2018,7319.232080078125
14,2,1,2018,7300.067944335938
15,2,1,2018,7279.163989257812
16,2,1,2018,7340.3629296875
17,2,1,2018,7570.163837890625
18,2,1,2018,7574.234858398438
19,2,1,2018,7506.203022460937
20,2,1,2018,7371.4949560546875
21,2,1,2018,7132.403129882812
22,2,1,2018,6797.8348828125
23,2,1,2018,6506.755908203125
0,3,1,2018,6006.403984375
1,3,1,2018,5742.725986328125
2,3,1,2018,5554.181918945313
3,3,1,2018,5423.491904296875
4,3,1,2018,5401.341904296875
5,3,1,2018,5508.471845703125
6,3,1,2018,5806.242993164063
7,3,1,2018,6382.123002929688
8,3,1,2018,6861.492915039063
9,3,1,2018,7062.646943359375
10,3,1,2018,7187.84208984375
11,3,1,2018,7199.0121484375
12,3,1,2018,7197.08916015625
13,3,1,2018,7167.665146484375
14,3,1,2018,7146.3839453125
15,3,1,2018,7132.106098632812
16,3,1,2018,7174.913129882812
17,3,1,2018,7319.901879882813
18,3,1,2018,7356.602963867187
19,3,1,2018,7285.169111328125
20,3,1,2018,7169.98095703125
21,3,1,2018,7014.959047851563
22,3,1,2018,6666.838999023437
23,3,1,2018,6357.21609375
0,4,1,2018,5827.061958007813
1,4,1,2018,5537.242998046875
2,4,1,2018,5346.217084960937
3,4,1,2018,5266.612919921875
11,4,1,2018,7212.701879882812
12,4,1,2018,7265.12197265625
13,4,1,2018,7258.030986328125
14,4,1,2018,7228.54005859375
15,4,1,2018,7188.802109375
16,4,1,2018,7208.030927734375
17,4,1,2018,7336.90091796875
18,4,1,2018,7387.058930664062
19,4,1,2018,7312.696083984375
20,4,1,2018,7207.675053710937
21,4,1,2018,6997.277973632812
22,4,1,2018,6690.016918945313
23,4,1,2018,6394.211938476563
0,5,1,2018,5995.387924804688
1,5,1,2018,5707.858989257813
2,5,1,2018,5560.912861328125
3,5,1,2018,5474.36302734375
4,5,1,2018,5552.145888671875
5,5,1,2018,5629.729995117187
6,5,1,2018,5861.45912109375
7,5,1,2018,6300.428071289062
8,5,1,2018,6774.091953125
9,5,1,2018,7016.184111328125
10,5,1,2018,7345.527172851563
11,5,1,2018,7438.0431640625
12,5,1,2018,7508.979995117187
13,5,1,2018,7516.5111083984375
14,5,1,2018,7505.469995117188
15,5,1,2018,7504.873061523437
16,5,1,2018,7530.789995117188
17,5,1,2018,7693.829931640625
18,5,1,2018,7725.154990234375
19,5,1,2018,7653.959926757812
20,5,1,2018,7544.31798828125
21,5,1,2018,7370.652124023438
22,5,1,2018,6977.14900390625
23,5,1,2018,6775.687875976562
0,6,1,2018,6346.00392578125
1,6,1,2018,6112.310942382813
2,6,1,2018,5938.461079101562
3,6,1,2018,5789.052041015625
4,6,1,2018,5745.36193359375
5,6,1,2018,5755.131875
6,6,1,2018,5833.139008789062
7,6,1,2018,6143.380083007813
8,6,1,2018,6365.13310546875
9,6,1,2018,6591.1979296875
10,6,1,2018,6798.401928710938
11,6,1,2018,6930.351987304687
12,6,1,2018,7031.1839453125
13,6,1,2018,7048.1919921875
14,6,1,2018,7049.693051757812
15,6,1,2018,7053.551928710937
16,6,1,2018,7079.263935546875
23,6,1,2018,6738.623071289063
